Name,Known For,Where They Publish,Topics
Ryan Allis,Founder of SaasRise iContact,"LinkedIn: https://www.linkedin.com/in/ryanallis, Newsletter: https://saasrise.beehiiv.com/, Twitter: https://twitter.com/ryanallis, Website: https://www.saasrise.com/",SaaS Growth
Jason Lemkin,SaaStr founder,"LinkedIn: https://www.linkedin.com/in/jasonmlemkin, Website: https://www.saastr.com/, Medium: https://jasonlk.medium.com/, Substack: https://substack.com/@cloud, Quora: https://www.quora.com/profile/Jason-M.-Lemkin",SaaS
Tomasz Tunguz,VC at Theory Ventures,"LinkedIn: https://www.linkedin.com/in/tomasztunguz, Blog: https://tomasztunguz.com/, Twitter: https://twitter.com/ttunguz, Newsletter: https://ttunguz.kit.com/ef0a779b9c",Venture Capital
David Skok,VC at Matrix Partners,"LinkedIn: https://www.linkedin.com/in/dskok, Blog: https://www.forentrepreneurs.com/, Twitter: https://twitter.com/bostonvc",SaaS Metrics
Lenny Rachitsky,Creator of Lenny's Newsletter,"LinkedIn: https://www.linkedin.com/in/lennyrachitsky, Newsletter: https://www.lennysnewsletter.com/, Twitter: https://twitter.com/lennysan, Website: https://www.lennyrachitsky.com/, Substack: https://substack.com/@lenny",Product Growth
Chris Walker,Founder of Passetto (ex-Refine Labs),"LinkedIn: https://www.linkedin.com/in/chriswalker171, Company: https://www.linkedin.com/company/refine-labs",Demand Generation
April Dunford,Author of Obviously Awesome,"Website: https://www.aprildunford.com/, Newsletter: https://aprildunford.substack.com/, Podcast: https://www.positioning.show/",Positioning
Claire Suellentrop,Co-founder of Forget The Funnel,"LinkedIn: https://www.linkedin.com/in/clairesuellentrop/, Twitter: https://twitter.com/clairesuellen, Website: https://clairesuellentrop.com, Company: https://forgetthefunnel.com, Podcast: The Forget The Funnel Podcast",Conversion Optimization
Hiten Shah,Serial SaaS founder,"LinkedIn: https://www.linkedin.com/in/hnshah, Blog: https://hitenism.com/, Podcast: https://www.hiten.show/, Twitter: https://twitter.com/hnshah",SaaS
Patrick Campbell,Founder of ProfitWell,"LinkedIn: https://www.linkedin.com/in/patrickccampbell, Twitter: https://twitter.com/Patticus, Website: https://www.profitwell.com/",Pricing & Monetization
Dan Martell,SaaS Academy founder investor,"LinkedIn: https://ca.linkedin.com/in/dmartell, Twitter: https://twitter.com/danmartell, Website: https://www.danmartell.com, Company: https://www.saasacademy.com, Newsletter: The Martell Method",SaaS Coaching
Wes Bush,Founder of ProductLed,"LinkedIn: https://ca.linkedin.com/in/wesbush, Twitter: https://twitter.com/wes_bush, Website: https://wesbush.com, Company: https://productled.com, Podcast: https://productled.com/podcast",Product-Led Growth
Peep Laja,Founder of Wynter & CXL,"LinkedIn: https://www.linkedin.com/in/peeplaja/, Twitter: https://twitter.com/peeplaja, Website: https://peeplaja.com, Company: https://wynter.com, Additional: https://cxl.com, Podcast: How to Win with Peep Laja",Conversion Optimization
Allison Pickens,Ex-Gainsight COO founder of The New Normal Fund,"LinkedIn: https://www.linkedin.com/in/allison-pickens/, Twitter: https://twitter.com/PickensAllison, Website: https://www.allisonpickens.com/, Newsletter: https://allisonpickens.substack.com/",Customer Success
Kyle Poyar,Operating Partner at OpenView,"LinkedIn: https://www.linkedin.com/in/kyle-poyar/, Twitter: https://twitter.com/poyark, Newsletter: https://www.growthunhinged.com/, Company: Tremont (Co-Founder and Operating Partner)",Product-Led Growth
Dev Basu,Founder of Powered by Search,"LinkedIn: https://ca.linkedin.com/in/devbasu, Website: https://www.poweredbysearch.com/, Search Engine Journal: https://www.searchenginejournal.com/author/dev-basu/",SEO & Content
Melanie Deziel,B2B content strategist author,"LinkedIn: https://www.linkedin.com/in/melaniedeziel/, Website: https://www.melaniedeziel.com/, Newsletter: The Overlap League, Muck Rack: https://muckrack.com/mdeziel",Content Marketing
Geoffrey Moore,Author of Crossing the Chasm,"LinkedIn: https://www.linkedin.com/in/geoffreyamoore/, Website: https://geoffreyamoore.com/",Technology Adoption
Ben Murray,The SaaS CFO,"LinkedIn: https://www.linkedin.com/in/benrmurray/, Twitter: https://x.com/thesaascfo, Website: https://www.thesaascfo.com/, Podcast: The SaaS CFO, Newsletter: SaaS Metrics School",SaaS Finance
Anna Furmanov,SaaS GTM consultant podcaster,"LinkedIn: https://www.linkedin.com/in/annafurmanov/, Website: https://furmanovmarketing.com/, Podcast: Modern Startup Marketing",Go-to-Market
Ashley Faus,Content Strategy Lead at Atlassian,"LinkedIn: https://www.linkedin.com/in/ashleyfaus/, Twitter: https://twitter.com/ashleyfaus, Website: https://ashleyfaus.com/, HubSpot Blog: https://blog.hubspot.com/marketing/author/ashley-faus",Content Strategy
Dave Gerhardt,Founder of Exit Five ex-Drift CMO,"LinkedIn: https://www.linkedin.com/in/davegerhardt/, Twitter: https://twitter.com/davegerhardt, Website: https://davegerhardt.com, Company: https://www.exitfive.com, Podcast: https://www.exitfive.com/podcast, Newsletter: https://www.exitfive.com/newsletter",Marketing
Eli Rubel,CEO of Matter Made,"Website: http://www.elirubel.com/, Company: https://www.mattermade.co/, Podcast: The Demand Efficiency podcast",Design & Branding
Amanda Natividad,VP Marketing at SparkToro,"LinkedIn: https://www.linkedin.com/in/amandanat, Twitter: https://twitter.com/amandanat, Website: https://amandanat.com, Substack: https://substack.com/@amandanat, Company: SparkToro, Newsletter: The Menu, Podcast: Meme Team",Marketing
Latane Conant,CMO at 6sense,"LinkedIn: https://www.linkedin.com/in/latane-conant/, Twitter: https://twitter.com/lataneconant, Company: https://6sense.com/about-us/team/latane-conant, Community: CMO Coffee Talk, Book: No Forms. No Spam. No Cold Calls.",Account-Based Marketing
Blake Bartlett,Partner at OpenView coined PLG,"LinkedIn: https://www.linkedin.com/in/blakebartlett/, Company: OpenView, Blog: https://openviewpartners.com/author/blakebartlett/, TechCrunch: https://techcrunch.com/author/blake-bartlett/, Podcast: BUILD with Blake Bartlett, Video series: PLG123 on LinkedIn",Product-Led Growth
Nick Mehta,CEO of Gainsight,"LinkedIn: https://www.linkedin.com/in/nickmehta/, Twitter: https://twitter.com/nrmehta, Newsletter: https://mehtaphysical.com/",Customer Success
Katelyn Bourgoin,CEO of Customer Camp,"Website: https://customercamp.co/, Twitter: https://twitter.com/katebour, Newsletter: Why We Buy",Customer Research
Scott Brinker,VP Platform Ecosystem @ HubSpot creator of Martech 5000,"LinkedIn: https://www.linkedin.com/in/sjbrinker/, Twitter: https://twitter.com/chiefmartec, Website: https://chiefmartec.com/, HubSpot blog: https://blog.hubspot.com/marketing/author/scott-brinker",Marketing Technology
Benjamin Mangold,Co-founder of Loves Data,"LinkedIn: https://www.linkedin.com/in/benmangold/, Website: https://www.benjaminmangold.com/, Company: https://www.lovesdata.com/, YouTube: Loves Data channel, Facebook: https://www.facebook.com/benjaminlovesdata/, Book: Learning Google AdWords and Google Analytics",Analytics
